"","year","rank","restaurant","location","country","lat","lng"
"95",2003,45,"1884","Godoy Cruz","Argentina",-32.9286268,-68.8583963
"96",2003,46,"Checchino Dal 1887","Rome","Italy",41.8967068,12.4822025
"97",2003,47,"River Café","London","United Kingdom",51.5072178,-0.1275862
"98",2003,48,"New York Grill","Tokyo","Japan",35.6764225,139.650027
"99",2003,49,"St John","London","United Kingdom",51.5072178,-0.1275862
"100",2003,50,"Carnivore","Nairobi","Kenya",-1.2920659,36.8219462
"101",2004,1,"The French Laundry","Yountville","United States",38.401578,-122.3608105
"102",2004,2,"The Fat Duck","Maidenhead","United Kingdom",51.5225605,-0.7243082
"103",2004,3,"El Bulli","Roses","Spain",42.2639489,3.1795528
"104",2004,4,"L'Atelier Saint Germain De Joël Robuchon","Paris","France",48.8575475,2.3513765
"105",2004,5,"Pierre Gagnaire","Paris","France",48.8575475,2.3513765
"106",2004,6,"Guy Savoy","Paris","France",48.8575475,2.3513765
"107",2004,7,"Nobu","London","United Kingdom",51.5072178,-0.1275862
"108",2004,8,"Restaurant Gordon Ramsay","London","United Kingdom",51.5072178,-0.1275862
"109",2004,9,"Bras","Laguiole","France",44.683579,2.845605
"110",2004,10,"Le Louis XV","Monaco","Monaco",43.7384176,7.42461579
"111",2004,11,"Gramercy Tavern","New York","United States",40.7127753,-74.0059728
"112",2004,12,"Daniel","New York","United States",40.7127753,-74.0059728
"113",2004,13,"Tetsuya's","Sydney","Australia",-33.8688197,151.2092955
"114",2004,14,"Hakkasan","London","United Kingdom",51.5072178,-0.1275862
"115",2004,15,"The Waterside Inn","London","United Kingdom",51.5072178,-0.1275862
"116",2004,16,"St John","London","United Kingdom",51.5072178,-0.1275862
"117",2004,17,"L'Ami Louis","Paris","France",48.8575475,2.3513765
"118",2004,18,"Jean Georges","New York","United States",40.7127753,-74.0059728
"119",2004,19,"Le Gavroche","London","United Kingdom",51.5072178,-0.1275862
"120",2004,20,"Flower Drum","Melbourne","Australia",-37.8136276,144.9630576
"121",2004,21,"The Merchant House","London","United Kingdom",51.5072178,-0.1275862
"122",2004,22,"Arzak","San Sebastian","Spain",43.318237,-1.9817051
"123",2004,23,"Dal Pescatore","Canneto sull'Oglio","Italy",45.1515537,10.3828899
"124",2004,24,"The Ivy","London","United Kingdom",51.5072178,-0.1275862
"125",2004,25,"Arpège","Paris","France",48.8575475,2.3513765
"126",2004,26,"Can Fabes","Barcelona","Spain",41.3873974,2.168568
"127",2004,27,"Die Schwarzaldstube","Baiersbronn","Germany",48.5089458,8.3706727
"128",2004,28,"The Cliff","Durants","Barbados",13.1580476,-59.6326696
"129",2004,29,"Rockpool","Sydney","Australia",-33.8688197,151.2092955
"130",2004,30,"Le Manoir aux Quat'Saisons","Oxford","United Kingdom",51.7520209,-1.2577263
"131",2004,31,"Al Mahara","Dubai","United Arab Emirates",25.2048493,55.2707828
"132",2004,32,"Charlie Trotter's","Chicago","United States",41.8781136,-87.6297982
"133",2004,33,"Le Jardin des Sens","Montpellier","France",43.6108535,3.8761323
"134",2004,34,"The Square","London","United Kingdom",51.5072178,-0.1275862
"135",2004,35,"Spago","Beverly Hills","United States",34.0736204,-118.4003563
"136",2004,36,"Bukhara","New Delhi","India",28.6139298,77.2088282
"137",2004,37,"Chez Panisse","Berkeley","United States",37.8715226,-122.273042
"138",2004,38,"Le Meurice","Paris","France",48.8575475,2.3513765
"139",2004,39,"Troisgros","Ouches","France",46.014944,3.986587
"140",2004,40,"Balthazar","New York","United States",40.7127753,-74.0059728
"141",2004,41,"River Café","London","United Kingdom",51.5072178,-0.1275862
"142",2004,42,"La Tupina","Bordeaux","France",44.8416106,-0.5810938
"143",2004,43,"L'Auberge de l'Ill","Illhaeusern","France",48.184834,7.43380399
"144",2004,44,"Craft","New York","United States",40.7127753,-74.0059728
"145",2004,45,"La Tour D'Argent","Paris","France",48.8575475,2.3513765
"146",2004,46,"Le Maison de Marc Veyrat","Manigod","France",45.861224,6.36913699
"147",2004,47,"Felix","Hong Kong","Hong Kong",22.3193039,114.1693611
"148",2004,48,"De Karmeliet","Bruges","Belgium",51.2093707,3.2247548
"149",2004,49,"The Wolseley","London","United Kingdom",51.5072178,-0.1275862
"150",2004,50,"Gambero Roso","Vernazza","Italy",44.1353502,9.6827957
"151",2005,1,"The Fat Duck","Maidenhead","United Kingdom",51.5225605,-0.7243082
"152",2005,2,"El Bulli","Roses","Spain",42.2639489,3.1795528
"153",2005,3,"The French Laundry","Yountville","United States",38.401578,-122.3608105
"154",2005,4,"Tetsuya's","Sydney","Australia",-33.8688197,151.2092955
